Fund Holdings as of,"31/Dec/2024"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"EXO","EXOR NV","Financials","Equity","3,248,368.20","0.10","3,248,368.20","36,684.00","88.55","Netherlands","Euronext Amsterdam","EUR"
"UU.","UNITED UTILITIES GROUP PLC","Utilities","Equity","3,209,519.07","0.10","3,209,519.07","252,370.00","12.72","United Kingdom","London Stock Exchange","GBP"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Real Estate","Equity","3,176,773.20","0.10","3,176,773.20","43,685.00","72.72","France","Nyse Euronext - Euronext Paris","EUR"
"WISE","WISE PLC CLASS A","Financials","Equity","3,175,866.06","0.10","3,175,866.06","246,327.00","12.89","United Kingdom","London Stock Exchange","GBP"
"AUTO","AUTO TRADER GROUP PLC","Communication","Equity","3,175,308.84","0.10","3,175,308.84","331,070.00","9.59","United Kingdom","London Stock Exchange","GBP"
"SRG","SNAM","Utilities","Equity","3,151,845.33","0.10","3,151,845.33","736,929.00","4.28","Italy","Borsa Italiana","EUR"
"WRT1V","WARTSILA","Industrials","Equity","3,149,129.72","0.10","3,149,129.72","184,052.00","17.11","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"SVT","SEVERN TRENT PLC","Utilities","Equity","3,131,615.86","0.10","3,131,615.86","103,240.00","30.33","United Kingdom","London Stock Exchange","GBP"
"MRO","MELROSE INDUSTRIES PLC","Industrials","Equity","3,126,779.26","0.10","3,126,779.26","466,822.00","6.70","United Kingdom","London Stock Exchange","GBP"
"GALD","GALDERMA GROUP N AG","Health Care","Equity","3,100,956.70","0.09","3,100,956.70","28,915.00","107.24","Switzerland","SIX Swiss Exchange","CHF"
"ADM","ADMIRAL GROUP PLC","Financials","Equity","3,008,767.60","0.09","3,008,767.60","94,088.00","31.98","United Kingdom","London Stock Exchange","GBP"
"BALN","BALOISE HOLDING AG","Financials","Equity","3,003,533.57","0.09","3,003,533.57","17,176.00","174.87","Switzerland","SIX Swiss Exchange","CHF"
"AGN","AEGON LTD","Financials","Equity","3,000,557.56","0.09","3,000,557.56","524,573.00","5.72","Netherlands","Euronext Amsterdam","EUR"
"ABF","ASSOCIATED BRITISH FOODS PLC","Consumer Staples","Equity","2,998,776.14","0.09","2,998,776.14","121,362.00","24.71","United Kingdom","London Stock Exchange","GBP"
"IMCD","IMCD NV","Industrials","Equity","2,977,768.50","0.09","2,977,768.50","20,751.00","143.50","Netherlands","Euronext Amsterdam","EUR"
"SPSN","SWISS PRIME SITE AG","Real Estate","Equity","2,963,193.93","0.09","2,963,193.93","28,145.00","105.28","Switzerland","SIX Swiss Exchange","CHF"
