Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ISP","INTESA SANPAOLO","Financials","Equity","8,694,283.23","0.12","8,694,283.23","1,252,162.00","6.94","Italy","Borsa Italiana","EUR"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","8,612,860.00","0.12","8,612,860.00","22,600.00","381.10","United States","NASDAQ","USD"
"BN","BROOKFIELD CORP CLASS A","Financials","Equity","8,592,004.24","0.12","8,592,004.24","189,031.00","45.45","Canada","Toronto Stock Exchange","CAD"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","8,533,164.44","0.12","8,533,164.44","111,148.00","76.77","Canada","Toronto Stock Exchange","CAD"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","8,520,743.10","0.12","8,520,743.10","36,429.00","233.90","United States","New York Stock Exchange Inc.","USD"
"NG.","NATIONAL GRID PLC","Utilities","Equity","8,472,001.28","0.12","8,472,001.28","452,363.00","18.73","United Kingdom","London Stock Exchange","GBP"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","8,397,097.58","0.12","8,397,097.58","58,549.00","143.42","United States","New York Stock Exchange Inc.","USD"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","8,372,664.00","0.12","8,372,664.00","29,664.00","282.25","United States","NASDAQ","USD"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","8,285,694.80","0.12","8,285,694.80","8,740.00","948.02","United States","NASDAQ","USD"
"WMB","WILLIAMS INC","Energy","Equity","8,199,352.97","0.12","8,199,352.97","109,661.00","74.77","United States","New York Stock Exchange Inc.","USD"
"USB","US BANCORP","Financials","Equity","8,149,185.94","0.12","8,149,185.94","142,319.00","57.26","United States","New York Stock Exchange Inc.","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","8,113,225.12","0.12","8,113,225.12","49,808.00","162.89","United States","New York Stock Exchange Inc.","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","8,097,127.55","0.12","8,097,127.55","19,765.00","409.67","United States","NASDAQ","USD"
"FDX","FEDEX CORP","Industrials","Equity","8,090,493.92","0.12","8,090,493.92","20,869.00","387.68","United States","New York Stock Exchange Inc.","USD"
"RHM","RHEINMETALL AG","Industrials","Equity","8,076,056.73","0.12","8,076,056.73","4,089.00","1,975.06","Germany","Xetra","EUR"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","8,029,764.34","0.12","8,029,764.34","36,037.00","222.82","United States","New York Stock Exchange Inc.","USD"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","8,027,575.41","0.12","8,027,575.41","30,967.00","259.23","United States","New York Stock Exchange Inc.","USD"
"MRSH","MARSH INC","Financials","Equity","8,000,081.04","0.11","8,000,081.04","43,176.00","185.29","United States","New York Stock Exchange Inc.","USD"
"8031","MITSUI LTD","Industrials","Equity","7,996,467.57","0.11","7,996,467.57","218,600.00","36.58","Japan","Tokyo Stock Exchange","JPY"
"USD","USD CASH","Cash and/or Derivatives","Cash","7,952,496.42","0.11","7,952,496.42","7,952,496.00","100.00","United States","-","USD"
"EMR","EMERSON ELECTRIC","Industrials","Equity","7,871,799.68","0.11","7,871,799.68","51,544.00","152.72","United States","New York Stock Exchange Inc.","USD"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","7,824,072.90","0.11","7,824,072.90","42,290.00","185.01","United States","New York Stock Exchange Inc.","USD"
"SHW","SHERWIN WILLIAMS","Materials","Equity","7,821,047.50","0.11","7,821,047.50","21,695.00","360.50","United States","New York Stock Exchange Inc.","USD"
"BARC","BARCLAYS PLC","Financials","Equity","7,785,117.65","0.11","7,785,117.65","1,218,961.00","6.39","United Kingdom","London Stock Exchange","GBP"
"MMM","3M","Industrials","Equity","7,772,601.75","0.11","7,772,601.75","46,775.00","166.17","United States","New York Stock Exchange Inc.","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","7,731,472.52","0.11","7,731,472.52","35,407.00","218.36","United States","NASDAQ","USD"
"CS","AXA SA","Financials","Equity","7,726,885.79","0.11","7,726,885.79","160,280.00","48.21","France","Nyse Euronext - Euronext Paris","EUR"
"INGA","ING GROEP NV","Financials","Equity","7,664,182.38","0.11","7,664,182.38","260,148.00","29.46","Netherlands","Euronext Amsterdam","EUR"
"EL","ESSILORLUXOTTICA SA","Health Care","Equity","7,658,138.76","0.11","7,658,138.76","27,124.00","282.34","France","Nyse Euronext - Euronext Paris","EUR"
"PWR","QUANTA SERVICES INC","Industrials","Equity","7,646,821.65","0.11","7,646,821.65","13,533.00","565.05","United States","New York Stock Exchange Inc.","USD"
