Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"PIIND","P.I. INDUSTRIES LTD","Materials","Equity","9,570,275.55","0.17","9,570,275.55","277,607.00","34.47","India","National Stock Exchange Of India","INR"
"PETRONET","PETRONET LNG LTD","Energy","Equity","9,469,947.17","0.17","9,469,947.17","2,715,945.00","3.49","India","National Stock Exchange Of India","INR"
"NHPC","NHPC LTD","Utilities","Equity","9,402,239.55","0.17","9,402,239.55","11,287,455.00","0.83","India","National Stock Exchange Of India","INR"
"OIL","OIL INDIA LTD","Energy","Equity","9,251,138.13","0.17","9,251,138.13","1,776,453.00","5.21","India","National Stock Exchange Of India","INR"
"SBICARD","SBI CARDS & PAYMENT SERVICES LTD","Financials","Equity","9,046,700.08","0.16","9,046,700.08","1,060,711.00","8.53","India","National Stock Exchange Of India","INR"
"JSWENERGY","JSW ENERGY LTD","Utilities","Equity","8,980,646.22","0.16","8,980,646.22","1,637,361.00","5.48","India","National Stock Exchange Of India","INR"
"USD","USD CASH","Cash and/or Derivatives","Cash","8,739,105.46","0.16","8,739,105.46","8,739,105.00","100.00","United States","-","USD"
"INR","INR CASH","Cash and/or Derivatives","Cash","8,656,321.49","0.16","8,656,321.49","786,984,275.00","1.10","India","-","INR"
"ASTRAL","ASTRAL LTD","Industrials","Equity","8,328,226.21","0.15","8,328,226.21","449,564.00","18.53","India","National Stock Exchange Of India","INR"
"OBEROIRLTY","OBEROI REALTY LTD","Real Estate","Equity","8,103,452.25","0.15","8,103,452.25","477,027.00","16.99","India","National Stock Exchange Of India","INR"
"PAGEIND","PAGE INDUSTRIES LTD","Consumer Discretionary","Equity","7,891,111.97","0.14","7,891,111.97","22,242.00","354.78","India","National Stock Exchange Of India","INR"
"JUBLFOOD","JUBILANT FOODWORKS LTD","Consumer Discretionary","Equity","7,825,150.20","0.14","7,825,150.20","1,378,318.00","5.68","India","National Stock Exchange Of India","INR"
"TATACOMM","TATA COMMUNICATIONS LTD","Communication","Equity","7,731,115.66","0.14","7,731,115.66","423,339.00","18.26","India","National Stock Exchange Of India","INR"
"ZYDUSLIFE","ZYDUS LIFESCIENCES LTD","Health Care","Equity","7,637,994.18","0.14","7,637,994.18","739,908.00","10.32","India","National Stock Exchange Of India","INR"
"BALKRISIND","BALKRISHNA INDUSTRIES LTD","Consumer Discretionary","Equity","7,600,568.78","0.14","7,600,568.78","280,621.00","27.08","India","National Stock Exchange Of India","INR"
"KALYANKJIL","KALYAN JEWELLERS INDIA LTD","Consumer Discretionary","Equity","6,929,701.35","0.12","6,929,701.35","1,547,555.00","4.48","India","National Stock Exchange Of India","INR"
"RVNL","RAIL VIKAS NIGAM LTD","Industrials","Equity","6,847,386.63","0.12","6,847,386.63","1,955,784.00","3.50","India","National Stock Exchange Of India","INR"
"OFSS","ORACLE FINANCIAL SERVICES SOFTWARE","Information Technology","Equity","6,136,010.32","0.11","6,136,010.32","81,361.00","75.42","India","National Stock Exchange Of India","INR"
"ABCAPITAL","ADITYA BIRLA CAPITAL LTD","Financials","Equity","3,812,305.06","0.07","3,812,305.06","973,167.00","3.92","India","National Stock Exchange Of India","INR"
"IRCTC","INDIAN RAILWAY CATERING AND TOURIS","Industrials","Equity","1,326,659.24","0.02","1,326,659.24","202,727.00","6.54","India","National Stock Exchange Of India","INR"
"HSBFT","CASH COLLATERAL USD HSBFT","Cash and/or Derivatives","Cash Collateral and Margins","1,303,000.00","0.02","1,303,000.00","1,303,000.00","100.00","United States","-","USD"
"TVSLIN","TVS MOTOR COMPANY LTD EQUITY/ 6P","Consumer Discretionary","Equity","376,530.89","0.01","376,530.89","3,423,208.00","0.11","India","National Stock Exchange Of India","INR"
"INR","INR/USD","Cash and/or Derivatives","FX","409.88","0.00","409.88","54,173,874.00","1.00","United States","-","USD"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","54.01","0.00","54.01","46.00","117.98","European Union","-","EUR"
"INR","INR/USD","Cash and/or Derivatives","FX","-251.87","0.00","-251.87","-63,357,721.00","1.00","United States","-","USD"
"INR","INR/USD","Cash and/or Derivatives","FX","-233.07","0.00","-233.07","-53,485,100.00","1.00","United States","-","USD"
"ZVLH6","MSCI INDIA INDEX MAR 26","Cash and/or Derivatives","Futures","0.00","0.00","15,948,800.00","128.00","1,246.00","India","Eurex Deutschland","USD"
 
