Fund Holdings as of,"13/Mar/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2887","TS FINANCIAL HOLDING LTD","Financials","Equity","10’667’367.24","0.20","10’667’367.24","13’785’040.00","0.77","Taiwan","Taiwan Stock Exchange","TWD"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","10’658’003.95","0.20","10’658’003.95","39’399.00","270.51","Korea (South)","Korea Exchange (Stock Market)","KRW"
"005490","POSCO","Materials","Equity","10’544’492.95","0.20","10’544’492.95","46’729.00","225.65","Korea (South)","Korea Exchange (Stock Market)","KRW"
"CEMEXCPO","CEMEX CPO","Materials","Equity","10’528’725.10","0.20","10’528’725.10","10’129’311.00","1.04","Mexico","Bolsa Mexicana De Valores","MXN"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","10’472’029.57","0.20","10’472’029.57","237’698.00","44.06","India","National Stock Exchange Of India","INR"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","10’448’941.71","0.20","10’448’941.71","40’219.00","259.80","Korea (South)","Korea Exchange (Stock Market)","KRW"
"028260","SAMSUNG C&T CORP","Industrials","Equity","10’355’651.68","0.20","10’355’651.68","55’136.00","187.82","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SHFL","SHRIRAM FINANCE LTD","Financials","Equity","10’261’176.34","0.19","10’261’176.34","945’294.00","10.86","India","National Stock Exchange Of India","INR"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","10’226’396.29","0.19","10’226’396.29","59’863.00","170.83","Peru","New York Stock Exchange Inc.","USD"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","10’163’681.41","0.19","10’163’681.41","37’900.00","268.17","Korea (South)","Korea Exchange (Stock Market)","KRW"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","10’129’510.54","0.19","10’129’510.54","3’111’892.00","3.26","India","National Stock Exchange Of India","INR"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","9’930’248.04","0.19","9’930’248.04","9’609’806.00","1.03","Taiwan","Taiwan Stock Exchange","TWD"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","9’840’998.90","0.19","9’840’998.90","4’958’038.00","1.98","India","National Stock Exchange Of India","INR"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","9’793’671.13","0.19","9’793’671.13","7’234’085.00","1.35","Taiwan","Taiwan Stock Exchange","TWD"
"267260","HD HYUNDAI ELECTRIC LTD","Industrials","Equity","9’717’659.11","0.18","9’717’659.11","15’622.00","622.05","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","9’716’764.07","0.18","9’716’764.07","8’020’029.00","1.21","Taiwan","Taiwan Stock Exchange","TWD"
"329180","HD HYUNDAI HEAVY INDUSTRIES LTD","Industrials","Equity","9’671’606.01","0.18","9’671’606.01","24’235.00","399.08","Korea (South)","Korea Exchange (Stock Market)","KRW"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrials","Equity","9’521’717.70","0.18","9’521’717.70","463’199.00","20.56","Korea (South)","Korea Exchange (Stock Market)","KRW"
"316140","WOORI FINANCIAL GROUP INC","Financials","Equity","9’300’753.69","0.18","9’300’753.69","431’373.00","21.56","Korea (South)","Korea Exchange (Stock Market)","KRW"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","9’289’927.77","0.18","9’289’927.77","44’835’150.00","0.21","Indonesia","Indonesia Stock Exchange","IDR"
