Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","16,126,800.34","0.20","16,126,800.34","3,453,441.00","4.67","India","National Stock Exchange Of India","INR"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","16,051,934.72","0.20","16,051,934.72","5,222,411.00","3.07","Kuwait","Kuwait Stock Exchange","KWD"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","15,812,037.42","0.20","15,812,037.42","1,693,000.00","9.34","Taiwan","Taiwan Stock Exchange","TWD"
"068270","CELLTRION INC","Health Care","Equity","15,703,058.31","0.19","15,703,058.31","92,528.00","169.71","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","15,679,499.61","0.19","15,679,499.61","5,195,041.00","3.02","Taiwan","Taiwan Stock Exchange","TWD"
"1211","SAUDI ARABIAN MINING","Materials","Equity","15,546,836.71","0.19","15,546,836.71","830,582.00","18.72","Saudi Arabia","Saudi Stock Exchange","SAR"
"SBIN","STATE BANK OF INDIA","Financials","Equity","15,491,453.80","0.19","15,491,453.80","1,164,445.00","13.30","India","National Stock Exchange Of India","INR"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","15,435,076.20","0.19","15,435,076.20","2,820,549.00","5.47","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","15,396,963.28","0.19","15,396,963.28","2,904,681.00","5.30","Qatar","Qatar Exchange","QAR"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","15,312,874.01","0.19","15,312,874.01","174,823.00","87.59","Korea (South)","Korea Exchange (Stock Market)","KRW"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","15,279,465.19","0.19","15,279,465.19","2,441,500.00","6.26","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","15,246,565.20","0.19","15,246,565.20","34,994,000.00","0.44","Indonesia","Indonesia Stock Exchange","IDR"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","15,236,182.94","0.19","15,236,182.94","5,966,581.00","2.55","Taiwan","Taiwan Stock Exchange","TWD"
"BAP","CREDICORP LTD","Financials","Equity","15,234,450.88","0.19","15,234,450.88","42,856.00","355.48","Peru","New York Stock Exchange Inc.","USD"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","14,866,969.98","0.18","14,866,969.98","7,095,000.00","2.10","Taiwan","Taiwan Stock Exchange","TWD"
"2383","ELITE MATERIAL LTD","Information Technology","Equity","14,853,737.46","0.18","14,853,737.46","190,000.00","78.18","Taiwan","Taiwan Stock Exchange","TWD"
"AMXB","AMERICA MOVIL B","Communication","Equity","14,522,503.59","0.18","14,522,503.59","11,462,262.00","1.27","Mexico","Bolsa Mexicana De Valores","MXN"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","14,396,342.92","0.18","14,396,342.92","550,514.00","26.15","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","14,256,419.23","0.18","14,256,419.23","38,429.00","370.98","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","14,129,633.78","0.17","14,129,633.78","315,000.00","44.86","Taiwan","Taiwan Stock Exchange","TWD"
"7010","SAUDI TELECOM","Communication","Equity","14,012,654.96","0.17","14,012,654.96","1,256,649.00","11.15","Saudi Arabia","Saudi Stock Exchange","SAR"
"028260","SAMSUNG C&T CORP","Industrials","Equity","13,894,316.07","0.17","13,894,316.07","55,035.00","252.46","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","13,726,105.51","0.17","13,726,105.51","523,602.00","26.21","India","National Stock Exchange Of India","INR"
"3037","UNIMICRON TECHNOLOGY CORP","Information Technology","Equity","13,702,393.74","0.17","13,702,393.74","888,194.00","15.43","Taiwan","Taiwan Stock Exchange","TWD"
"MTN","MTN GROUP LTD","Communication","Equity","13,595,449.12","0.17","13,595,449.12","1,063,280.00","12.79","South Africa","Johannesburg Stock Exchange","ZAR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","13,316,378.26","0.16","13,316,378.26","79,580.00","167.33","India","National Stock Exchange Of India","INR"
"6160","BEONE MEDICINES AG","Health Care","Equity","13,306,086.49","0.16","13,306,086.49","535,481.00","24.85","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","13,241,851.33","0.16","13,241,851.33","3,245,295.00","4.08","Brazil","XBSP","BRL"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","13,076,399.98","0.16","13,076,399.98","1,608,500.00","8.13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9987","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","12,871,953.57","0.16","12,871,953.57","233,537.00","55.12","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","12,596,448.60","0.16","12,596,448.60","58,398.00","215.70","Peru","New York Stock Exchange Inc.","USD"
"EAND","EMIRATES TELECOM","Communication","Equity","12,587,994.20","0.16","12,587,994.20","2,220,735.00","5.67","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","12,347,767.00","0.15","12,347,767.00","1,091,481.00","11.31","Mexico","Bolsa Mexicana De Valores","MXN"
"CEMEXCPO","CEMEX CPO","Materials","Equity","12,183,496.53","0.15","12,183,496.53","9,563,545.00","1.27","Mexico","Bolsa Mexicana De Valores","MXN"
"IMP","IMPALA PLATINUM LTD","Materials","Equity","12,174,475.71","0.15","12,174,475.71","576,719.00","21.11","South Africa","Johannesburg Stock Exchange","ZAR"
"PBBANK","PUBLIC BANK","Financials","Equity","12,158,131.76","0.15","12,158,131.76","9,449,300.00","1.29","Malaysia","Bursa Malaysia","MYR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","12,023,812.33","0.15","12,023,812.33","612,162.00","19.64","India","National Stock Exchange Of India","INR"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","11,948,982.78","0.15","11,948,982.78","37,948.00","314.88","Korea (South)","Korea Exchange (Stock Market)","KRW"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","11,920,703.39","0.15","11,920,703.39","36,438.00","327.15","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","11,845,046.21","0.15","11,845,046.21","17,321,000.00","0.68","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PKN","ORLEN SA","Energy","Equity","11,682,182.33","0.14","11,682,182.33","362,838.00","32.20","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","11,574,699.71","0.14","11,574,699.71","3,315,555.00","3.49","Brazil","XBSP","BRL"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","11,557,467.24","0.14","11,557,467.24","204,374.00","56.55","Taiwan","Taiwan Stock Exchange","TWD"
"2887","TS FINANCIAL HOLDING LTD","Financials","Equity","11,412,605.66","0.14","11,412,605.66","13,914,017.00","0.82","Taiwan","Taiwan Stock Exchange","TWD"
"MAYBANK","MALAYAN BANKING","Financials","Equity","11,406,793.62","0.14","11,406,793.62","3,693,900.00","3.09","Malaysia","Bursa Malaysia","MYR"
"EMIRATESNBD","EMIRATES NBD","Financials","Equity","11,405,768.69","0.14","11,405,768.69","1,203,833.00","9.47","United Arab Emirates","Dubai Financial Market","AED"
