Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
JP3118000003,ASICS CORP,Consumer Discretionary,Equity,,0.417620,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3634600005,TOYOTA INDUSTRIES CORP,Industrials,Equity,,0.413298,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3409000001,SUMITOMO REALTY + DEVELOPMEN,Real Estate,Equity,,0.401885,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3402600005,SUMITOMO METAL MINING CO LTD,Materials,Equity,,0.397078,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3505000004,DAIWA HOUSE INDUSTRY CO LTD,Real Estate,Equity,,0.386450,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3205800000,KAO CORP,Consumer Staples,Equity,,0.377126,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3381000003,NIPPON STEEL CORP,Materials,Equity,,0.376123,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3266400005,KUBOTA CORP,Industrials,Equity,,0.373236,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3198900007,ORIENTAL LAND CO LTD,Consumer Discretionary,Equity,,0.372425,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3443600006,TAISEI CORP,Industrials,Equity,,0.367600,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3210200006,KAJIMA CORP,Industrials,Equity,,0.365278,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3224200000,KAWASAKI HEAVY INDUSTRIES,Industrials,Equity,,0.342375,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3979200007,LASERTEC CORP,Information Technology,Equity,,0.338943,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3190000004,OBAYASHI CORP,Industrials,Equity,,0.337020,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3546800008,TERUMO CORP,Health Care,Equity,,0.335503,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3347200002,SHIONOGI + CO LTD,Health Care,Equity,,0.331760,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3116000005,ASAHI GROUP HOLDINGS LTD,Consumer Staples,Equity,,0.317911,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3166000004,EBARA CORP,Industrials,Equity,,0.316883,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3228600007,KANSAI ELECTRIC POWER CO INC,Utilities,Equity,,0.316795,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3778630008,BANDAI NAMCO HOLDINGS INC,Consumer Discretionary,Equity,,0.303884,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3111200006,ASAHI KASEI CORP,Materials,Equity,,0.301006,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3573000001,TOKYO GAS CO LTD,Utilities,Equity,,0.299757,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3379550001,JX ADVANCED METALS CORP,Materials,Equity,,0.298873,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3684000007,NITTO DENKO CORP,Materials,Equity,,0.298374,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3421800008,SECOM CO LTD,Industrials,Equity,,0.293193,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3180400008,OSAKA GAS CO LTD,Utilities,Equity,,0.286850,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3753000003,NIPPON YUSEN KK,Industrials,Equity,,0.284247,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3420600003,SEKISUI HOUSE LTD,Consumer Discretionary,Equity,,0.280104,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3148800000,IBIDEN CO LTD,Information Technology,Equity,,0.276509,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3258000003,KIRIN HOLDINGS CO LTD,Consumer Staples,Equity,,0.262030,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3502200003,DAIWA SECURITIES GROUP INC,Financials,Equity,,0.260845,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3183200009,JAPAN EXCHANGE GROUP INC,Financials,Equity,,0.259662,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3362700001,MITSUI OSK LINES LTD,Industrials,Equity,,0.258587,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3300200007,KONAMI GROUP CORP,Communication Services,Equity,,0.254936,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3497400006,DAIFUKU CO LTD,Industrials,Equity,,0.249363,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3639650005,PAN PACIFIC INTERNATIONAL HO,Consumer Discretionary,Equity,,0.243746,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3734800000,NIDEC CORP,Industrials,Equity,,0.241316,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3820000002,FUJI ELECTRIC CO LTD,Industrials,Equity,,0.237654,,,,Japan,Tokyo Stock Exchange,JPY,,,
