stock_id,name,weight,location,sector
300604|China,HANGZHOU CHANG CHUAN TECHNOLOGY LT,0.0006461061269361392,China,Information Technology
300857|China,SHARETRONIC DATA TECHNOLOGY LTD A,0.0006461061269361392,China,Information Technology
002736|China,GUOSEN SECURITIES LTD A,0.0006461061269361392,China,Financials
600115|China,CHINA EASTERN AIRLINES CORP LTD A,0.0006461061269361392,China,Industrials
001979|China,CHINA MERCHANTS SHEKOU INDUSTRIAL,0.0006461061269361392,China,Real Estate
601877|China,ZHEJIANG CHINT ELECTRICS LTD A,0.0006461061269361392,China,Industrials
600219|China,SHANDONG NANSHAN ALUMINIUM LTD A,0.0006461061269361392,China,Materials
600584|China,JCET GROUP LTD A,0.0006461061269361392,China,Information Technology
4151|Japan,KYOWA KIRIN LTD,0.00064,Japan,Health Care
3092|Japan,ZOZO INC,0.00064,Japan,Consumer Discretionary
601825|China,SHANGHAI RURAL COMMERCIAL BANK LTD,0.00060809988417519,China,Financials
002080|China,SINOMA SCIENCE & TECHNOLOGY LTD A,0.00060809988417519,China,Materials
601958|China,JINDUICHENG MOLYBDENUM LTD A,0.00060809988417519,China,Materials
000301|China,JIANGSU EASTERN SHENGHONG LTD A,0.00060809988417519,China,Materials
601231|China,UNIVERSAL SCIENTIFIC INDUSTRIAL (S,0.00060809988417519,China,Information Technology
002466|China,TIANQI LITHIUM INDUSTRIES CORP A,0.00060809988417519,China,Materials
000933|China,HENAN SHENHUO COAL & POWER LTD A,0.00060809988417519,China,Materials
600426|China,SHANDONG HUALU-HENGSHENG CHEMICAL,0.00060809988417519,China,Materials
002304|China,JIANGSU YANGHE BREWERY JOINT-STOCK,0.00060809988417519,China,Consumer Staples
601319|China,THE PEOPLES INSURANCE COMPANY (GRO,0.00060809988417519,China,Financials
600415|China,ZHEJIANG CHINA COMMODITIES CITY GR,0.00060809988417519,China,Consumer Discretionary
688498|China,YUANJIE SEMICONDUCTOR TECHNOLOGY L,0.00060809988417519,China,Information Technology
600703|China,SANAN OPTOELECTRONICS LTD A,0.00060809988417519,China,Information Technology
002532|China,TIANSHAN ALUMINUM GROUP LTD A,0.00060809988417519,China,Materials
600498|China,FIBERHOME TELECOMMUNICATION TECHNO,0.00060809988417519,China,Information Technology
002851|China,SHENZHEN MEGMEET ELECTRICAL LTD A,0.0005700936414142404,China,Industrials
600958|China,ORIENT SECURITIES LTD A,0.0005700936414142404,China,Financials
000617|China,CNPC CAPITAL LTD A,0.0005700936414142404,China,Financials
600674|China,SICHUAN CHUANTOU ENERGY LTD A,0.0005700936414142404,China,Utilities
600048|China,POLY DEVELOPMENTS AND HOLDINGS GRO,0.0005700936414142404,China,Real Estate
002595|China,SHANDONG HIMILE MECHANICAL SCIENCE,0.0005700936414142404,China,Industrials
002128|China,INNER MONGOLIA DIAN TOU ENERGY COR,0.0005700936414142404,China,Energy
002156|China,TONGFU MICROELECTRONICS LTD A,0.0005700936414142404,China,Information Technology
601212|China,BAIYIN NONFERROUS GROUP LTD A,0.0005700936414142404,China,Materials
300475|China,SHANNON SEMICONDUCTOR TECHNOLOGY L,0.0005700936414142404,China,Information Technology
601168|China,WESTERN MINING LTD A,0.0005700936414142404,China,Materials
600039|China,SICHUAN ROAD & BRIDGE LTD A,0.0005700936414142404,China,Industrials
