period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2021-09-01,EE3600019824,19,417,227324.66,2065898.72
2021-09-01,EE3600019832,933,3852,6828955.87,31779629.15
2021-09-01,EE3600098430,1064,820,10781260.71,7167117.59
2021-09-01,EE3600098448,332,92,3631963.43,759526.83
2021-09-01,EE3600098455,301,169,3159866.53,791889.7
2021-09-01,EE3600098612,70,134,398040.81,811231.8
2021-09-01,EE3600103248,1563,1961,10293355.08,7904815.99
2021-09-01,EE3600103297,818,971,4515050.13,4341939.15
2021-09-01,EE3600103503,2519,562,15116496.02,3234166.6
2021-09-01,EE3600109393,2575,414,9178222.26,658282.47
2021-09-01,EE3600109401,627,245,4734800.22,724257.69
2021-09-01,EE3600109427,867,443,6054175.57,672397.96
2021-09-01,EE3600109435,1370,489,11125306.09,1608626.03
2021-09-01,EE3600109443,67,130,805980.29,583601.36
2022-01-03,EE3600001699,479,116,3193333.02,493029.3
2022-01-03,EE3600001723,3238,891,14249704.59,2393521.46
2022-01-03,EE3600001806,169,78,1055610.14,196198.41
2022-01-03,EE3600001814,735,4,8537602.29,325.96
2022-01-03,EE3600019717,62,294,356863.48,1372152.68
2022-01-03,EE3600019725,275,2213,1070453.93,17280322.83
2022-01-03,EE3600019733,122,257,1332382.84,1175742.12
2022-01-03,EE3600019741,254,482,2194525.63,4248683.86
2022-01-03,EE3600019758,741,2462,5552867.8,22562109.47
2022-01-03,EE3600019766,1072,2108,6126856.11,10490298.85
2022-01-03,EE3600019774,179,540,1396447.44,4765075.01
2022-01-03,EE3600019782,20,232,211840.49,917712.72
2022-01-03,EE3600019824,25,448,108799.49,2094208.28
2022-01-03,EE3600019832,1134,4040,7664612.91,34373380.15
2022-01-03,EE3600098430,701,1278,7264175.75,12655981.26
2022-01-03,EE3600098448,264,207,2777001.91,1824347.76
2022-01-03,EE3600098455,266,224,2432303.32,1207966.52
2022-01-03,EE3600098612,57,172,289148.77,1080398.84
